region_name,tpak_male,tpak_female,year,admin_level
Maluku Tenggara Barat / Kepulauan Tanimbar,80.45,59.03,2018,City_Regency
Maluku Tenggara,72.78,53.23,2018,City_Regency
Maluku Tengah,80.26,47.46,2018,City_Regency
Buru,80.83,52.99,2018,City_Regency
Kepulauan Aru,82.05,41.91,2018,City_Regency
Seram Bagian Barat,83.16,54.97,2018,City_Regency
Seram Bagian Timur,81.71,45.49,2018,City_Regency
Maluku Barat Daya,83.9,66.33,2018,City_Regency
Buru Selatan,83.66,57.96,2018,City_Regency
Kota Ambon,70.24,46.07,2018,City_Regency
Kota Tual,69.64,50.41,2018,City_Regency
MALUKU UTARA,80.88,49.92,2018,Province
Halmahera Barat,83.71,47.08,2018,City_Regency
Halmahera Tengah,87.79,42.46,2018,City_Regency
Kepulauan Sula,81.96,48.57,2018,City_Regency
Halmahera Selatan,87.26,58.33,2018,City_Regency
Halmahera Utara,79.19,44.68,2018,City_Regency
Halmahera Timur,87.2,58.54,2018,City_Regency
Pulau Morotai,81.22,43.0,2018,City_Regency
Pulau Taliabu,91.49,55.94,2018,City_Regency
Kota Ternate,70.5,45.2,2018,City_Regency
Kota Tidore Kepulauan,75.88,55.0,2018,City_Regency
PAPUA BARAT,80.71,52.15,2018,Province
Fakfak,77.6,41.38,2018,City_Regency
Kaimana,77.92,48.13,2018,City_Regency
Teluk Wondama,76.44,46.37,2018,City_Regency
Teluk Bintuni,88.23,49.79,2018,City_Regency
Manokwari,78.5,46.92,2018,City_Regency
Sorong Selatan,81.51,54.48,2018,City_Regency
Sorong,82.58,46.6,2018,City_Regency
Raja Ampat,86.48,44.61,2018,City_Regency
Tambrauw,86.92,76.95,2018,City_Regency
Maybrat,78.68,63.52,2018,City_Regency
Manokwari Selatan,84.77,69.28,2018,City_Regency
Pegunungan Arfak,85.14,92.02,2018,City_Regency
Kota Sorong,79.74,53.78,2018,City_Regency
PAPUA BARAT DAYA,,,2018,Province
Raja Ampat,,,2018,City_Regency
Sorong,,,2018,City_Regency
Sorong Selatan,,,2018,City_Regency
Maybrat,,,2018,City_Regency
Tambrauw,,,2018,City_Regency
Kota Sorong,,,2018,City_Regency
PAPUA,86.44,70.53,2018,Province
Merauke,82.51,54.66,2018,City_Regency
Jayawijaya,92.05,87.05,2018,City_Regency
Jayapura,77.14,60.72,2018,City_Regency
Nabire,85.51,56.63,2018,City_Regency
Kepulauan Yapen,78.56,47.45,2018,City_Regency
Biak Numfor,75.32,45.34,2018,City_Regency
Paniai,92.89,84.75,2018,City_Regency
Puncak Jaya,91.94,93.36,2018,City_Regency
Mimika,87.24,43.28,2018,City_Regency
Boven Digoel,90.03,69.55,2018,City_Regency
Mappi,89.78,65.08,2018,City_Regency
Asmat,86.43,78.55,2018,City_Regency
Yahukimo,90.99,78.94,2018,City_Regency
Pegunungan Bintang,90.05,84.01,2018,City_Regency
Tolikara,95.1,95.57,2018,City_Regency
Sarmi,85.41,55.5,2018,City_Regency
Keerom,87.6,57.04,2018,City_Regency
Waropen,80.2,35.01,2018,City_Regency
Supiori,77.28,37.99,2018,City_Regency
Mamberamo Raya,87.92,48.45,2018,City_Regency
Nduga,91.27,93.52,2018,City_Regency
Lanny Jaya,93.32,92.29,2018,City_Regency
Mamberamo Tengah,95.23,96.18,2018,City_Regency
Yalimo,85.02,87.7,2018,City_Regency
Puncak,93.82,94.54,2018,City_Regency
Dogiyai,88.34,84.09,2018,City_Regency
Intan Jaya,83.51,64.56,2018,City_Regency
Deiyai,91.2,88.42,2018,City_Regency
Kota Jayapura,73.72,52.18,2018,City_Regency
PAPUA SELATAN,,,2018,Province
Merauke,,,2018,City_Regency
Boven Digoel,,,2018,City_Regency
Mappi,,,2018,City_Regency
Asmat,,,2018,City_Regency
PAPUA TENGAH,,,2018,Province
Mimika,,,2018,City_Regency
Dogiyai,,,2018,City_Regency
Deiyai,,,2018,City_Regency
Nabire,,,2018,City_Regency
