region_name,tpak_male,tpak_female,year,admin_level
KALIMANTAN SELATAN,85.52,53.75,2023,Province
KALIMANTAN TIMUR,82.82,46.86,2023,Province
KALIMANTAN UTARA,85.18,53.6,2023,Province
SULAWESI UTARA,80.93,46.53,2023,Province
SULAWESI TENGAH,85.42,53.4,2023,Province
SULAWESI SELATAN,82.22,49.62,2023,Province
SULAWESI TENGGARA,84.15,55.64,2023,Province
GORONTALO,85.34,56.07,2023,Province
SULAWESI BARAT,86.28,55.4,2023,Province
MALUKU,74.34,52.68,2023,Province
MALUKU UTARA,82.13,52.48,2023,Province
PAPUA BARAT,79.21,53.82,2023,Province
PAPUA BARAT DAYA,,,2023,Province
PAPUA,86.64,66.27,2023,Province
PAPUA SELATAN,,,2023,Province
PAPUA TENGAH,,,2023,Province
PAPUA PEGUNUNGAN,,,2023,Province
ACEH,80.68,49.62,2024,Province
SUMATERA UTARA,84.25,58.54,2024,Province
SUMATERA BARAT,82.75,57.75,2024,Province
RIAU,84.8,47.05,2024,Province
JAMBI,86.04,51.17,2024,Province
SUMATERA SELATAN,85.79,55.35,2024,Province
BENGKULU,85.1,57.74,2024,Province
LAMPUNG,85.61,54.58,2024,Province
KEP. BANGKA BELITUNG,86.2,50.57,2024,Province
KEPULAUAN RIAU,85.73,52.15,2024,Province
DKI JAKARTA,79.95,50.24,2024,Province
JAWA BARAT,84.51,50.59,2024,Province
JAWA TENGAH,85.66,61.82,2024,Province
D I YOGYAKARTA,83.27,66.59,2024,Province
JAWA TIMUR,86.52,60.64,2024,Province
BANTEN,82.95,48.9,2024,Province
BALI,83.77,70.49,2024,Province
NUSA TENGGARA BARAT,86.47,68.04,2024,Province
NUSA TENGGARA TIMUR,84.7,70.4,2024,Province
KALIMANTAN BARAT,86.05,53.95,2024,Province
KALIMANTAN TENGAH,86.5,49.6,2024,Province
KALIMANTAN SELATAN,84.71,55.52,2024,Province
KALIMANTAN TIMUR,83.75,49.07,2024,Province
KALIMANTAN UTARA,86.51,52.14,2024,Province
SULAWESI UTARA,81.91,49.59,2024,Province
SULAWESI TENGAH,85.94,55.47,2024,Province
SULAWESI SELATAN,82.52,52.68,2024,Province
SULAWESI TENGGARA,85.03,60.3,2024,Province
GORONTALO,84.5,55.23,2024,Province
SULAWESI BARAT,85.95,56.46,2024,Province
MALUKU,76.62,56.25,2024,Province
MALUKU UTARA,82.4,54.98,2024,Province
PAPUA BARAT,81.42,59.8,2024,Province
PAPUA BARAT DAYA,79.64,54.72,2024,Province
PAPUA,79.01,56.45,2024,Province
PAPUA SELATAN,82.39,59.7,2024,Province
PAPUA TENGAH,85.03,59.32,2024,Province
PAPUA PEGUNUNGAN,90.37,85.71,2024,Province
ACEH,80.68,50.01,2025,Province
SUMATERA UTARA,84.85,59.8,2025,Province
SUMATERA BARAT,83.21,59.4,2025,Province
RIAU,84.68,47.68,2025,Province
JAMBI,85.6,50.63,2025,Province
SUMATERA SELATAN,84.82,54.46,2025,Province
BENGKULU,84.84,58.17,2025,Province
LAMPUNG,86.4,53.85,2025,Province
KEP. BANGKA BELITUNG,85.86,52.02,2025,Province
KEPULAUAN RIAU,83.94,52.12,2025,Province
DKI JAKARTA,79.66,49.94,2025,Province
JAWA BARAT,84.41,49.27,2025,Province
JAWA TENGAH,85.36,63.37,2025,Province
D I YOGYAKARTA,83.9,65.91,2025,Province
JAWA TIMUR,85.89,62.29,2025,Province
BANTEN,81.96,46.87,2025,Province
BALI,83.84,70.84,2025,Province
NUSA TENGGARA BARAT,86.55,65.69,2025,Province
NUSA TENGGARA TIMUR,82.52,68.68,2025,Province
KALIMANTAN BARAT,85.32,55.7,2025,Province
KALIMANTAN TENGAH,85.26,50.34,2025,Province
KALIMANTAN SELATAN,84.48,55.18,2025,Province
KALIMANTAN TIMUR,83.14,48.72,2025,Province
KALIMANTAN UTARA,84.95,52.26,2025,Province
SULAWESI UTARA,83.26,50.51,2025,Province
SULAWESI TENGAH,86.02,58.05,2025,Province
SULAWESI SELATAN,82.8,52.95,2025,Province
SULAWESI TENGGARA,83.56,59.49,2025,Province
GORONTALO,85.3,53.12,2025,Province
SULAWESI BARAT,87.47,60.68,2025,Province
MALUKU,77.45,55.71,2025,Province
MALUKU UTARA,83.85,54.29,2025,Province
PAPUA BARAT,80.03,57.73,2025,Province
PAPUA BARAT DAYA,80.35,54.63,2025,Province
PAPUA,75.97,50.54,2025,Province
PAPUA SELATAN,78.24,55.32,2025,Province
PAPUA TENGAH,80.58,66.09,2025,Province
PAPUA PEGUNUNGAN,92.87,88.08,2025,Province
