region_name,year,tpak_rate_pct,gender_code
ACEH,2018,48.24,P
SUMATERA UTARA,2018,59.97,P
SUMATERA BARAT,2018,54.81,P
RIAU,2018,45.68,P
JAMBI,2018,51.69,P
SUMATERA SELATAN,2018,53.23,P
BENGKULU,2018,56.26,P
LAMPUNG,2018,51.22,P
KEP. BANGKA BELITUNG,2018,50.03,P
KEPULAUAN RIAU,2018,46.62,P
DKI JAKARTA,2018,47.86,P
JAWA BARAT,2018,42.25,P
JAWA TENGAH,2018,56.43,P
D I YOGYAKARTA,2018,64.03,P
JAWA TIMUR,2018,55.31,P
BANTEN,2018,44.3,P
BALI,2018,70.14,P
NUSA TENGGARA BARAT,2018,54.27,P
NUSA TENGGARA TIMUR,2018,60.9,P
KALIMANTAN BARAT,2018,53.07,P
KALIMANTAN TENGAH,2018,51.82,P
KALIMANTAN SELATAN,2018,54.98,P
KALIMANTAN TIMUR,2018,45.18,P
KALIMANTAN UTARA,2018,49.44,P
SULAWESI UTARA,2018,45.16,P
SULAWESI TENGAH,2018,53.91,P
SULAWESI SELATAN,2018,47.65,P
SULAWESI TENGGARA,2018,55.65,P
GORONTALO,2018,51.66,P
SULAWESI BARAT,2018,53.96,P
MALUKU,2018,50.05,P
MALUKU UTARA,2018,49.92,P
PAPUA BARAT,2018,52.15,P
PAPUA,2018,70.53,P
ACEH,2019,45.68,P
SUMATERA UTARA,2019,56.8,P
SUMATERA BARAT,2019,54.26,P
RIAU,2019,45.26,P
JAMBI,2019,46.74,P
SUMATERA SELATAN,2019,51.68,P
BENGKULU,2019,55.2,P
LAMPUNG,2019,50.95,P
KEP. BANGKA BELITUNG,2019,48.03,P
KEPULAUAN RIAU,2019,45.35,P
DKI JAKARTA,2019,47.62,P
JAWA BARAT,2019,46.33,P
JAWA TENGAH,2019,55.35,P
D I YOGYAKARTA,2019,63.95,P
JAWA TIMUR,2019,55.07,P
BANTEN,2019,45.21,P
BALI,2019,65.67,P
NUSA TENGGARA BARAT,2019,56.36,P
NUSA TENGGARA TIMUR,2019,59.74,P
KALIMANTAN BARAT,2019,52.92,P
KALIMANTAN TENGAH,2019,51.53,P
KALIMANTAN SELATAN,2019,54.05,P
KALIMANTAN TIMUR,2019,47.17,P
KALIMANTAN UTARA,2019,45.16,P
SULAWESI UTARA,2019,45.14,P
SULAWESI TENGAH,2019,50.33,P
SULAWESI SELATAN,2019,47.01,P
SULAWESI TENGGARA,2019,54.98,P
GORONTALO,2019,50.03,P
SULAWESI BARAT,2019,52.86,P
MALUKU,2019,50.5,P
MALUKU UTARA,2019,47.79,P
PAPUA BARAT,2019,53.03,P
PAPUA,2019,66.72,P
ACEH,2020,48.94,P
SUMATERA UTARA,2020,56.15,P
SUMATERA BARAT,2020,56.24,P
RIAU,2020,46.4,P
JAMBI,2020,50.04,P
SUMATERA SELATAN,2020,54.25,P
BENGKULU,2020,57.71,P
LAMPUNG,2020,54.13,P
KEP. BANGKA BELITUNG,2020,48.47,P
KEPULAUAN RIAU,2020,48.93,P
DKI JAKARTA,2020,47.47,P
JAWA BARAT,2020,46.79,P
JAWA TENGAH,2020,57.54,P
D I YOGYAKARTA,2020,64.33,P
JAWA TIMUR,2020,56.56,P
BANTEN,2020,46.62,P
BALI,2020,67.86,P
NUSA TENGGARA BARAT,2020,58.66,P
NUSA TENGGARA TIMUR,2020,63.91,P
KALIMANTAN BARAT,2020,53.86,P
KALIMANTAN TENGAH,2020,50.57,P
KALIMANTAN SELATAN,2020,55.5,P
KALIMANTAN TIMUR,2020,47.96,P
KALIMANTAN UTARA,2020,47.62,P
SULAWESI UTARA,2020,45.68,P
SULAWESI TENGAH,2020,52.5,P
SULAWESI SELATAN,2020,48.16,P
SULAWESI TENGGARA,2020,56.02,P
GORONTALO,2020,49.95,P
SULAWESI BARAT,2020,55.02,P
MALUKU,2020,53.52,P
MALUKU UTARA,2020,46.57,P
PAPUA BARAT,2020,57.27,P
PAPUA,2020,63.47,P
ACEH,2021,48.36,P
SUMATERA UTARA,2021,56.5,P
SUMATERA BARAT,2021,55.04,P
RIAU,2021,47.14,P
JAMBI,2021,49.89,P
SUMATERA SELATAN,2021,54.54,P
BENGKULU,2021,55.45,P
LAMPUNG,2021,52.36,P
KEP. BANGKA BELITUNG,2021,46.86,P
KEPULAUAN RIAU,2021,51.92,P
DKI JAKARTA,2021,47.34,P
JAWA BARAT,2021,47.88,P
JAWA TENGAH,2021,57.58,P
D I YOGYAKARTA,2021,64.59,P
JAWA TIMUR,2021,56.11,P
BANTEN,2021,46.84,P
BALI,2021,67.61,P
NUSA TENGGARA BARAT,2021,59.18,P
NUSA TENGGARA TIMUR,2021,65.34,P
KALIMANTAN BARAT,2021,53.43,P
KALIMANTAN TENGAH,2021,51.12,P
KALIMANTAN SELATAN,2021,54.72,P
KALIMANTAN TIMUR,2021,48.2,P
KALIMANTAN UTARA,2021,48.44,P
SULAWESI UTARA,2021,44.72,P
SULAWESI TENGAH,2021,52.17,P
SULAWESI SELATAN,2021,49.42,P
SULAWESI TENGGARA,2021,56.27,P
GORONTALO,2021,50.41,P
SULAWESI BARAT,2021,54.38,P
MALUKU,2021,53.71,P
MALUKU UTARA,2021,47.57,P
PAPUA BARAT,2021,58.78,P
PAPUA,2021,69.1,P
ACEH,2023,49.05,P
SUMATERA UTARA,2023,57.81,P
SUMATERA BARAT,2023,56.94,P
RIAU,2023,44.27,P
JAMBI,2023,51.68,P
SUMATERA SELATAN,2023,55.54,P
BENGKULU,2023,56.22,P
LAMPUNG,2023,52.01,P
KEP. BANGKA BELITUNG,2023,50.31,P
KEPULAUAN RIAU,2023,51.95,P
DKI JAKARTA,2023,50.12,P
JAWA BARAT,2023,47.98,P
JAWA TENGAH,2023,58.92,P
D I YOGYAKARTA,2023,64.75,P
JAWA TIMUR,2023,59.46,P
BANTEN,2023,46.16,P
BALI,2023,70.63,P
NUSA TENGGARA BARAT,2023,62.54,P
NUSA TENGGARA TIMUR,2023,68.52,P
KALIMANTAN BARAT,2023,53.11,P
KALIMANTAN TENGAH,2023,48.13,P
KALIMANTAN SELATAN,2023,53.75,P
KALIMANTAN TIMUR,2023,46.86,P
KALIMANTAN UTARA,2023,53.6,P
SULAWESI UTARA,2023,46.53,P
SULAWESI TENGAH,2023,53.4,P
SULAWESI SELATAN,2023,49.62,P
SULAWESI TENGGARA,2023,55.64,P
GORONTALO,2023,56.07,P
SULAWESI BARAT,2023,55.4,P
MALUKU,2023,52.68,P
MALUKU UTARA,2023,52.48,P
PAPUA BARAT,2023,53.82,P
PAPUA,2023,66.27,P
ACEH,2024,49.62,P
SUMATERA UTARA,2024,58.54,P
SUMATERA BARAT,2024,57.75,P
RIAU,2024,47.05,P
JAMBI,2024,51.17,P
SUMATERA SELATAN,2024,55.35,P
BENGKULU,2024,57.74,P
LAMPUNG,2024,54.58,P
KEP. BANGKA BELITUNG,2024,50.57,P
KEPULAUAN RIAU,2024,52.15,P
DKI JAKARTA,2024,50.24,P
JAWA BARAT,2024,50.59,P
JAWA TENGAH,2024,61.82,P
D I YOGYAKARTA,2024,66.59,P
JAWA TIMUR,2024,60.64,P
BANTEN,2024,48.9,P
BALI,2024,70.49,P
NUSA TENGGARA BARAT,2024,68.04,P
NUSA TENGGARA TIMUR,2024,70.4,P
KALIMANTAN BARAT,2024,53.95,P
KALIMANTAN TENGAH,2024,49.6,P
KALIMANTAN SELATAN,2024,55.52,P
KALIMANTAN TIMUR,2024,49.07,P
KALIMANTAN UTARA,2024,52.14,P
SULAWESI UTARA,2024,49.59,P
SULAWESI TENGAH,2024,55.47,P
SULAWESI SELATAN,2024,52.68,P
SULAWESI TENGGARA,2024,60.3,P
GORONTALO,2024,55.23,P
SULAWESI BARAT,2024,56.46,P
MALUKU,2024,56.25,P
MALUKU UTARA,2024,54.98,P
PAPUA BARAT,2024,59.8,P
PAPUA BARAT DAYA,2024,54.72,P
PAPUA,2024,56.45,P
PAPUA SELATAN,2024,59.7,P
PAPUA TENGAH,2024,59.32,P
PAPUA PEGUNUNGAN,2024,85.71,P
ACEH,2025,50.01,P
SUMATERA UTARA,2025,59.8,P
SUMATERA BARAT,2025,59.4,P
RIAU,2025,47.68,P
JAMBI,2025,50.63,P
SUMATERA SELATAN,2025,54.46,P
BENGKULU,2025,58.17,P
LAMPUNG,2025,53.85,P
KEP. BANGKA BELITUNG,2025,52.02,P
KEPULAUAN RIAU,2025,52.12,P
DKI JAKARTA,2025,49.94,P
JAWA BARAT,2025,49.27,P
JAWA TENGAH,2025,63.37,P
D I YOGYAKARTA,2025,65.91,P
JAWA TIMUR,2025,62.29,P
BANTEN,2025,46.87,P
BALI,2025,70.84,P
NUSA TENGGARA BARAT,2025,65.69,P
NUSA TENGGARA TIMUR,2025,68.68,P
KALIMANTAN BARAT,2025,55.7,P
KALIMANTAN TENGAH,2025,50.34,P
KALIMANTAN SELATAN,2025,55.18,P
KALIMANTAN TIMUR,2025,48.72,P
KALIMANTAN UTARA,2025,52.26,P
SULAWESI UTARA,2025,50.51,P
SULAWESI TENGAH,2025,58.05,P
SULAWESI SELATAN,2025,52.95,P
SULAWESI TENGGARA,2025,59.49,P
GORONTALO,2025,53.12,P
SULAWESI BARAT,2025,60.68,P
MALUKU,2025,55.71,P
MALUKU UTARA,2025,54.29,P
PAPUA BARAT,2025,57.73,P
PAPUA BARAT DAYA,2025,54.63,P
PAPUA,2025,50.54,P
PAPUA SELATAN,2025,55.32,P
PAPUA TENGAH,2025,66.09,P
PAPUA PEGUNUNGAN,2025,88.08,P
