Provinsi/Kabupaten/Kota/Indonesia,,
,Tingkat Partisipasi Angkatan Kerja Menurut Jenis Kelamin,
,Laki-laki,Perempuan
Konawe Selatan,88.63,51.12
Bombana,87.13,56.64
Wakatobi,83.86,61.69
Kolaka Utara,91.64,71.07
Buton Utara,87.13,76.31
Konawe Utara,87.92,67.75
Kolaka Timur,86.19,57.02
Konawe Kepulauan,89.62,72.73
Muna Barat,84.53,63.43
Buton Tengah,79.35,56.57
Buton Selatan,87.79,75.99
Kota Kendari,81.25,55.49
Kota Baubau,80.51,58.12
GORONTALO,84.5,55.23
Boalemo,84.4,54.18
Gorontalo,86.05,56.83
Pohuwato,87.31,56.23
Bone Bolango,85.14,52.56
Gorontalo Utara,83.16,56.14
Kota Gorontalo,79.75,53.75
SULAWESI BARAT,85.95,56.46
Majene,80.13,47.42
Polewali Mandar,83.99,57.47
Mamasa,86.93,63.75
Mamuju,88.45,61.92
Mamuju Utara / Pasangkayu,88.81,54.11
Mamuju Tengah,89.21,47.53
MALUKU,76.62,56.25
Maluku Tenggara Barat / Kepulauan Tanimbar,73.88,51.95
Maluku Tenggara,72.29,62.98
Maluku Tengah,74.52,57.48
Buru,86.05,58.34
Kepulauan Aru,81.54,40.89
Seram Bagian Barat,78.11,60.95
Seram Bagian Timur,71.34,50.33
Maluku Barat Daya,81.34,59.96
Buru Selatan,77.47,66.41
Kota Ambon,76.29,56.95
Kota Tual,77.53,44.42
MALUKU UTARA,82.4,54.98
Halmahera Barat,81.3,56.71
Halmahera Tengah,89.94,49.51
Kepulauan Sula,80.38,46.46
Halmahera Selatan,85.31,63.33
Halmahera Utara,81.74,59.19
Halmahera Timur,86.74,50.93
Pulau Morotai,81.29,51.33
Pulau Taliabu,81.75,48.02
Kota Ternate,75.48,51.59
Kota Tidore Kepulauan,85.74,53.14
PAPUA BARAT,81.42,59.8
Fakfak,73.42,49
Kaimana,79.14,53.94
Teluk Wondama,79.5,64.84
Teluk Bintuni,81.7,52.88
Manokwari,81.74,58.51
Sorong Selatan,-,-
Sorong,-,-
Raja Ampat,-,-
Tambrauw,-,-
Maybrat,-,-
Manokwari Selatan,87.77,74.15
Pegunungan Arfak,94.55,89.75
Kota Sorong,-,-
PAPUA BARAT DAYA,79.64,54.72
Raja Ampat,80.42,45.15
Sorong,84.46,53.71
Sorong Selatan,78.86,59.46
Maybrat,83.86,78.51
Tambrauw,87.47,71.13
Kota Sorong,76.23,50.71
PAPUA,79.01,56.45
Merauke,-,-
Jayawijaya,-,-
Jayapura,77,51.68
Nabire,-,-
Kepulauan Yapen,79.16,54.83
Biak Numfor,80.65,67.13
Paniai,-,-
Puncak Jaya,-,-
Mimika,-,-
Boven Digoel,-,-
Mappi,-,-
Asmat,-,-
Yahukimo,-,-
Pegunungan Bintang,-,-
Tolikara,-,-
Sarmi,73.69,47.53
Keerom,89.21,67.15
Waropen,85.34,71.19
Supiori,74.61,56.34
Mamberamo Raya,73.03,35.33
Nduga,-,-
Lanny Jaya,-,-
Mamberamo Tengah,-,-
Yalimo,-,-
Puncak,-,-
Dogiyai,-,-
Intan Jaya,-,-
Deiyai,-,-
Kota Jayapura,78.57,55.29
PAPUA SELATAN,82.39,59.7
Merauke,84.72,61.17
Boven Digoel,80.89,61.59
Mappi,75.57,45.54
Asmat,84.78,70.14
PAPUA TENGAH,85.03,59.32
Mimika,85.54,47.38
Dogiyai,93.58,92.75
Deiyai,72.41,41.31
Nabire,83.59,57.71
Paniai,86.8,48.63
Intan Jaya,79.01,55.03
Puncak,88.62,83.77
Puncak Jaya,86.32,63.37
PAPUA PEGUNUNGAN,90.37,85.71
Nduga,94.58,95.08
Jayawijaya,88.02,83.77
Lanny Jaya,93.69,93.41
Tolikara,91.33,85.85
Mamberamo Tengah,91.94,88.97
Yalimo,83.09,84.36
Yahukimo,90.21,80.21
Pegunungan Bintang,89.51,85.1
INDONESIA,84.66,56.42
